,날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프,LSTM예측값/달러환율,재측정달러가치/달러환율
749,2020-05-05 00:00:00,10882000.0,8871.92,1224.18,2020-05-05 09:00:00,1231.83544921875,10860827.025600001,-0.0019494808590627688,1226.5665154780477,-0.008670505409812554,-0.008819454329613785,-0.008341656929087893,0.6253532338994283,0.194948085906299
750,2020-05-06 00:00:00,10837000.0,9021.36,1222.57,2020-05-06 09:00:00,1231.53173828125,11029244.0952,0.017430396275631144,1201.2601204253017,-0.010249946331877438,-0.008919938807123301,-0.008360612354472122,0.7330245532975566,-1.7430396275631033
751,2020-05-07 00:00:00,10967000.0,9143.4,1229.6,2020-05-07 09:00:00,1231.7965087890625,11242724.639999999,0.02452471699066705,1199.4444079882758,-0.010363269881903572,-0.008481177392904743,-0.008344087307181766,0.1786360433525313,-2.452471699066705
752,2020-05-08 00:00:00,11269000.0,9986.3,1220.11,2020-05-08 09:00:00,1232.260009765625,12184384.492999999,0.07512767620932292,1128.445970980243,-0.014794475376775723,-0.009073474095740316,-0.008315158950998519,0.9958126534185484,-7.512767620932292
753,2020-05-09 00:00:00,11988000.0,9800.02,1220.11,2020-05-09 09:00:00,1232.7515869140625,11957102.4022,-0.002584037232491676,1223.2628096677354,-0.008876698672045075,-0.009073474095740316,-0.008284478284590835,1.0361022296401678,0.2584037232491676
754,2020-05-10 00:00:00,11881000.0,9539.1,1220.11,2020-05-10 09:00:00,1232.647216796875,11638751.300999999,-0.020813976751886454,1245.505341174744,-0.0074884818043614715,-0.009073474095740316,-0.008290992307381645,1.0275480732782285,2.0813976751886454
755,2020-05-11 00:00:00,11553000.0,8722.77,1219.7,2020-05-11 09:00:00,1231.687255859375,10639162.569,-0.08589373694342317,1324.4645909498931,-0.0025604203396416697,-0.009099063310509817,-0.008350906079576823,0.9828036287099272,8.589373694342296
756,2020-05-12 00:00:00,10672000.0,8562.04,1223.41,2020-05-12 09:00:00,1230.022705078125,10474885.356400002,-0.01881783302569162,1246.4319251019615,-0.007430651182128448,-0.008867512123205287,-0.008454795219664982,0.5405142248408046,1.8817833025691624
757,2020-05-13 00:00:00,10441000.0,8810.99,1226.84,2020-05-13 09:00:00,1228.8946533203125,10809674.9716,0.03410601822613635,1184.9973725994469,-0.011264948641287353,-0.008653436497206762,-0.008525199996986407,0.1674752470014473,-3.4106018226136348
758,2020-05-14 00:00:00,10680000.0,9309.35,1227.51,2020-05-14 09:00:00,1227.8187255859375,11427320.2185,0.06539767891426918,1147.2336951559453,-0.013621882428087345,-0.008611619975510257,-0.00859235157228247,0.0251505556726705,-6.539767891426928
759,2020-05-15 00:00:00,11265000.0,9791.97,1227.53,2020-05-15 09:00:00,1227.0850830078125,12019936.934099998,0.06280706281896353,1150.4324461778376,-0.013422239679566933,-0.008610371721131257,-0.008638140200320735,-0.0362448976552465,-6.280706281896354
760,2020-05-16 00:00:00,11777000.0,9315.96,1227.53,2020-05-16 09:00:00,1227.859375,11435620.3788,-0.029852304456771783,1264.1745992898211,-0.0063232826446200235,-0.008610371721131257,-0.008589814531827097,0.0268323381098722,2.9852304456771783
761,2020-05-17 00:00:00,11314000.0,9380.81,1227.53,2020-05-17 09:00:00,1229.3544921875,11515225.699299999,0.01747475078254268,1206.0792191719052,-0.00994917327621335,-0.008610371721131257,-0.008496500203006338,0.1486311688920105,-1.7474750782542905
762,2020-05-18 00:00:00,11322000.0,9681.11,1233.09,2020-05-18 09:00:00,1230.4814453125,11937679.9299,0.05157450472079772,1169.4939939738315,-0.012232556654223445,-0.00826335700376922,-0.008426163994345884,-0.2115461716095223,-5.157450472079772
763,2020-05-19 00:00:00,11619000.0,9733.93,1225.27,2020-05-19 09:00:00,1230.531005859375,11926692.4111,0.025798637249472067,1193.6597037373392,-0.010724309002526189,-0.00875142446595828,-0.008423070785862768,0.4293752282660268,-2.579863724947218
764,2020-05-20 00:00:00,11704000.0,9775.13,1225.18,2020-05-20 09:00:00,1229.21826171875,11976293.7734,0.022736063305726417,1197.3242299590902,-0.010495595957363116,-0.008757041610663777,-0.00850500271696486,0.3296055860159352,-2.2736063305726417
