"날짜","종가","오픈","고가","저가","변동 %"
"2009년 03월 19일","203.72","206.14","206.41","200.79","-1.67%"
"2009년 03월 18일","207.18","207.04","209.69","203.55","-0.07%"
"2009년 03월 17일","207.32","209.81","210.07","204.75","-1.28%"
"2009년 03월 16일","210.00","216.83","217.81","209.53","-3.36%"
"2009년 03월 13일","217.31","215.37","218.74","214.17","-0.71%"
"2009년 03월 12일","218.86","216.33","219.95","215.58","2.05%"
"2009년 03월 11일","214.46","219.43","219.59","213.71","-2.36%"
"2009년 03월 10일","219.64","225.22","228.23","218.83","-2.88%"
"2009년 03월 09일","226.15","226.30","228.81","224.37","0.06%"
"2009년 03월 06일","226.02","233.14","233.74","225.71","-1.39%"
"2009년 03월 05일","229.20","226.59","229.38","223.52","1.11%"
"2009년 03월 04일","226.68","226.70","230.80","223.57","-0.07%"
"2009년 03월 03일","226.84","229.41","233.00","225.71","-1.15%"
"2009년 03월 02일","229.49","224.05","233.19","224.05","2.36%"
"2009년 02월 27일","224.20","221.25","225.73","220.84","1.29%"
"2009년 02월 26일","221.35","221.65","223.39","220.07","-0.18%"
"2009년 02월 25일","221.75","222.07","222.18","217.89","-0.03%"
"2009년 02월 24일","221.81","218.31","222.04","218.22","1.07%"
"2009년 02월 23일","219.47","221.27","222.03","215.62","-1.28%"
"2009년 02월 20일","222.31","215.21","222.31","215.03","2.54%"
"2009년 02월 19일","216.81","214.67","217.83","214.39","1.19%"
"2009년 02월 18일","214.25","213.27","216.75","211.34","0.64%"
"2009년 02월 17일","212.89","209.07","213.64","208.29","1.77%"
"2009년 02월 16일","209.18","204.79","209.18","204.79","1.83%"
"2009년 02월 13일","205.42","204.94","206.21","203.57","0.29%"
"2009년 02월 12일","204.83","203.39","206.49","201.93","0.30%"
"2009년 02월 11일","204.22","203.11","207.86","202.40","0.34%"
"2009년 02월 10일","203.53","201.00","203.76","201.00","1.02%"
"2009년 02월 09일","201.47","200.42","203.10","200.28","0.49%"
"2009년 02월 06일","200.49","200.54","203.23","199.81","-0.30%"
"2009년 02월 05일","201.09","201.70","203.41","200.45","-0.32%"
"2009년 02월 04일","201.73","203.83","203.88","200.22","-1.15%"
"2009년 02월 03일","204.08","203.01","204.71","201.49","0.35%"
"2009년 02월 02일","203.36","201.58","204.21","201.58","0.68%"
"2009년 01월 30일","201.99","201.02","203.00","200.27","0.51%"
"2009년 01월 29일","200.96","199.85","202.33","198.08","0.11%"
"2009년 01월 28일","200.74","204.38","204.98","199.41","-1.29%"
"2009년 01월 27일","203.37","203.21","203.37","203.21","0.00%"
"2009년 01월 26일","203.36","203.33","203.36","203.33","0.00%"
"2009년 01월 23일","203.36","201.07","204.56","201.07","1.17%"
"2009년 01월 22일","201.00","200.03","201.75","198.83","0.35%"
"2009년 01월 21일","200.30","200.22","202.53","199.06","0.02%"
"2009년 01월 20일","200.26","198.49","202.89","197.54","0.62%"
"2009년 01월 19일","199.03","197.65","201.10","195.50","0.58%"
"2009년 01월 16일","197.88","200.81","202.44","197.65","-2.88%"
"2009년 01월 15일","203.75","197.94","203.97","197.48","2.85%"
"2009년 01월 14일","198.10","197.94","198.35","195.00","-0.01%"
"2009년 01월 13일","198.12","197.29","202.40","196.06","-0.01%"
"2009년 01월 12일","198.13","196.83","200.68","194.69","0.43%"
"2009년 01월 09일","197.28","194.39","197.57","192.43","1.38%"
"2009년 01월 08일","194.59","189.11","195.74","189.11","2.87%"
"2009년 01월 07일","189.17","188.66","189.91","187.55","-1.43%"
"2009년 01월 06일","191.91","188.83","194.84","188.83","-0.35%"
"2009년 01월 05일","192.59","193.89","194.19","189.50","-0.53%"
"2009년 01월 02일","193.61","193.60","195.72","189.83","4.59%"
"2009년 01월 01일","185.11","184.95","185.11","184.95","0.00%"
"2008년 12월 31일","185.11","184.07","185.11","183.63","0.39%"
"2008년 12월 30일","184.40","182.00","185.06","181.87","-0.06%"
"2008년 12월 29일","184.51","185.75","188.59","183.99","-2.86%"
"2008년 12월 26일","189.95","190.95","191.06","186.41","-0.71%"
"2008년 12월 25일","191.30","190.70","191.48","190.70","0.07%"
"2008년 12월 24일","191.16","194.35","196.19","189.98","-2.08%"
"2008년 12월 23일","195.23","190.96","197.86","189.78","2.19%"
"2008년 12월 22일","191.05","187.29","191.69","187.29","1.60%"
"2008년 12월 19일","188.04","188.16","192.85","185.90","-0.03%"
"2008년 12월 18일","188.09","193.72","193.80","187.29","-2.97%"
"2008년 12월 17일","193.84","190.63","195.31","190.63","-1.68%"
"2008년 12월 16일","197.16","198.72","200.51","194.19","-0.96%"
"2008년 12월 15일","199.07","200.10","200.51","193.64","-0.57%"
"2008년 12월 12일","200.22","197.69","201.34","193.52","1.13%"
"2008년 12월 11일","197.99","202.93","203.38","194.06","-2.50%"
"2008년 12월 10일","203.07","208.05","210.42","201.15","-2.43%"
"2008년 12월 09일","208.12","209.70","211.75","207.59","-1.13%"
"2008년 12월 08일","210.50","214.49","214.95","209.10","-1.95%"
"2008년 12월 05일","214.68","215.16","217.11","213.27","-0.61%"
"2008년 12월 04일","216.00","211.59","216.00","211.58","1.06%"
"2008년 12월 03일","213.74","212.38","213.90","207.58","0.61%"
"2008년 12월 02일","212.44","209.04","215.75","209.04","1.54%"
"2008년 12월 01일","209.22","214.97","216.44","209.04","-2.78%"
"2008년 11월 28일","215.21","215.22","217.01","212.38","-0.47%"
"2008년 11월 27일","216.22","215.38","218.85","213.77","-0.12%"
"2008년 11월 26일","216.47","219.94","221.56","213.79","-1.67%"
"2008년 11월 25일","220.15","220.81","221.01","215.23","-0.59%"
"2008년 11월 24일","221.45","218.62","222.44","215.20","1.20%"
"2008년 11월 21일","218.82","218.95","223.40","217.69","-0.16%"
"2008년 11월 20일","219.16","211.62","222.30","211.62","3.46%"
"2008년 11월 19일","211.84","211.98","213.07","207.94","-0.19%"
"2008년 11월 18일","212.25","205.04","212.30","205.04","2.88%"
"2008년 11월 17일","206.31","205.03","209.61","204.23","0.57%"
"2008년 11월 14일","205.14","203.50","205.26","200.83","0.71%"
"2008년 11월 13일","203.70","198.36","205.25","198.35","2.48%"
"2008년 11월 12일","198.77","194.36","199.70","194.36","1.94%"
"2008년 11월 11일","194.99","193.78","199.62","192.67","0.08%"
"2008년 11월 10일","194.83","193.79","196.06","191.28","0.28%"
"2008년 11월 07일","194.28","195.06","201.03","189.67","-0.47%"
"2008년 11월 06일","195.19","185.43","195.19","185.43","5.11%"
"2008년 11월 05일","185.70","185.40","186.81","182.10","-0.01%"
"2008년 11월 04일","185.71","180.51","190.47","180.51","2.25%"
"2008년 11월 03일","181.63","186.43","193.18","181.24","-3.48%"
"2008년 10월 31일","188.17","180.95","191.36","176.92","3.39%"
"2008년 10월 30일","182.00","210.03","211.15","180.89","-10.32%"
"2008년 10월 29일","202.95","212.84","213.10","197.44","-5.08%"
"2008년 10월 28일","213.82","212.72","219.29","209.99","0.36%"
"2008년 10월 27일","213.06","208.21","214.56","197.30","1.97%"
"2008년 10월 24일","208.94","198.94","215.12","198.93","1.36%"
"2008년 10월 23일","206.13","197.50","211.19","197.50","3.40%"
"2008년 10월 22일","199.36","193.11","208.72","178.53","3.19%"
"2008년 10월 21일","193.19","192.95","195.58","180.06","0.69%"
"2008년 10월 20일","191.87","195.14","195.53","185.12","-1.74%"
"2008년 10월 17일","195.27","200.47","200.65","191.16","-2.74%"
"2008년 10월 16일","200.77","181.15","201.32","181.15","10.71%"
"2008년 10월 15일","181.34","176.45","184.08","175.89","2.67%"
"2008년 10월 14일","176.63","181.38","181.62","172.15","-2.68%"
"2008년 10월 13일","181.49","191.23","191.55","179.29","-5.13%"
"2008년 10월 10일","191.31","202.36","213.17","179.20","-5.62%"
"2008년 10월 09일","202.70","203.99","215.16","201.00","-1.00%"
"2008년 10월 08일","204.74","194.97","205.19","193.76","5.03%"
"2008년 10월 07일","194.93","184.23","196.73","184.23","5.11%"
"2008년 10월 06일","185.45","178.89","188.10","178.89","3.73%"
"2008년 10월 03일","178.78","178.67","179.45","178.31","0.01%"
