"날짜","종가","오픈","고가","저가","변동 %"
"2022년 02월 21일","1,350.05","1,352.70","1,358.08","1,348.65","-0.26%"
"2022년 02월 18일","1,353.53","1,361.91","1,363.38","1,352.95","-0.60%"
"2022년 02월 17일","1,361.64","1,361.11","1,364.04","1,356.45","0.06%"
"2022년 02월 16일","1,360.81","1,359.40","1,365.15","1,357.47","0.13%"
"2022년 02월 15일","1,359.04","1,353.95","1,361.56","1,352.55","0.40%"
"2022년 02월 14일","1,353.57","1,361.03","1,364.30","1,350.76","-0.57%"
"2022년 02월 11일","1,361.29","1,371.22","1,371.69","1,357.70","-0.71%"
"2022년 02월 10일","1,371.05","1,364.22","1,375.02","1,361.91","0.53%"
"2022년 02월 09일","1,363.84","1,365.87","1,368.26","1,362.97","-0.12%"
"2022년 02월 08일","1,365.51","1,369.64","1,371.84","1,364.81","-0.29%"
"2022년 02월 07일","1,369.46","1,374.36","1,374.54","1,367.84","-0.15%"
"2022년 02월 04일","1,371.52","1,373.54","1,377.85","1,369.47","-0.03%"
"2022년 02월 03일","1,371.95","1,357.01","1,375.14","1,355.62","1.20%"
"2022년 02월 02일","1,355.63","1,355.30","1,360.94","1,354.81","0.06%"
"2022년 02월 01일","1,354.88","1,353.42","1,357.82","1,352.38","0.13%"
"2022년 01월 31일","1,353.16","1,348.40","1,356.79","1,347.03","0.40%"
"2022년 01월 28일","1,347.81","1,341.78","1,353.56","1,340.89","0.48%"
"2022년 01월 27일","1,341.36","1,346.03","1,352.76","1,339.27","-0.28%"
"2022년 01월 26일","1,345.10","1,352.06","1,354.69","1,345.43","-0.49%"
"2022년 01월 25일","1,351.76","1,354.11","1,357.73","1,349.69","-0.15%"
"2022년 01월 24일","1,353.77","1,352.77","1,357.53","1,351.45","0.11%"
"2022년 01월 21일","1,352.31","1,348.95","1,355.07","1,348.06","0.27%"
"2022년 01월 20일","1,348.63","1,347.73","1,354.06","1,345.86","0.09%"
"2022년 01월 19일","1,347.46","1,350.63","1,352.70","1,346.09","-0.24%"
"2022년 01월 18일","1,350.72","1,358.73","1,360.05","1,349.31","-0.49%"
"2022년 01월 17일","1,357.42","1,358.46","1,364.18","1,356.72","-0.07%"
"2022년 01월 14일","1,358.35","1,359.69","1,364.27","1,356.86","-0.01%"
"2022년 01월 13일","1,358.45","1,357.21","1,361.80","1,356.21","0.12%"
"2022년 01월 12일","1,356.87","1,355.41","1,358.84","1,350.85","0.13%"
"2022년 01월 11일","1,355.06","1,357.01","1,358.18","1,350.82","-0.12%"
"2022년 01월 10일","1,356.66","1,359.72","1,364.30","1,352.75","-0.27%"
"2022년 01월 07일","1,360.39","1,360.83","1,366.17","1,356.98","-0.01%"
"2022년 01월 06일","1,360.51","1,357.04","1,365.44","1,354.87","0.37%"
"2022년 01월 05일","1,355.52","1,351.67","1,358.13","1,350.33","0.31%"
"2022년 01월 04일","1,351.37","1,348.42","1,355.73","1,347.66","0.30%"
"2022년 01월 03일","1,347.37","1,351.21","1,356.67","1,346.21","-0.23%"
"2021년 12월 31일","1,350.47","1,347.28","1,353.88","1,343.35","0.29%"
"2021년 12월 30일","1,346.59","1,344.74","1,349.07","1,342.33","0.16%"
"2021년 12월 29일","1,344.40","1,343.91","1,348.85","1,337.31","0.06%"
"2021년 12월 28일","1,343.61","1,344.06","1,347.33","1,340.58","0.06%"
"2021년 12월 27일","1,342.84","1,343.43","1,346.41","1,340.76","0.05%"
"2021년 12월 24일","1,342.18","1,343.32","1,346.99","1,340.56","-0.06%"
"2021년 12월 23일","1,342.99","1,348.10","1,349.36","1,341.39","-0.36%"
"2021년 12월 22일","1,347.79","1,343.02","1,350.19","1,342.18","0.32%"
"2021년 12월 21일","1,343.43","1,341.49","1,348.75","1,340.73","0.17%"
"2021년 12월 20일","1,341.20","1,335.35","1,346.06","1,334.26","0.48%"
"2021년 12월 17일","1,334.74","1,344.18","1,346.24","1,333.65","-0.68%"
"2021년 12월 16일","1,343.83","1,337.97","1,346.91","1,333.77","0.53%"
"2021년 12월 15일","1,336.79","1,334.46","1,340.35","1,333.34","0.20%"
"2021년 12월 14일","1,334.17","1,337.33","1,340.41","1,331.58","-0.21%"
"2021년 12월 13일","1,336.93","1,336.44","1,339.52","1,329.73","0.09%"
"2021년 12월 10일","1,335.67","1,330.62","1,338.57","1,328.11","0.40%"
"2021년 12월 09일","1,330.37","1,333.04","1,334.70","1,327.54","-0.19%"
"2021년 12월 08일","1,332.90","1,325.88","1,334.63","1,324.66","0.54%"
"2021년 12월 07일","1,325.70","1,332.55","1,335.76","1,322.93","-0.49%"
"2021년 12월 06일","1,332.24","1,337.01","1,340.91","1,330.21","-0.20%"
"2021년 12월 03일","1,334.93","1,329.96","1,340.19","1,328.45","0.40%"
"2021년 12월 02일","1,329.60","1,332.44","1,336.11","1,327.49","-0.19%"
"2021년 12월 01일","1,332.17","1,341.05","1,343.27","1,327.97","-0.64%"
"2021년 11월 30일","1,340.72","1,344.90","1,353.30","1,332.81","-0.26%"
"2021년 11월 29일","1,344.17","1,351.37","1,352.98","1,341.30","-0.56%"
"2021년 11월 26일","1,351.74","1,334.08","1,355.34","1,333.14","1.35%"
"2021년 11월 25일","1,333.69","1,331.24","1,338.28","1,330.63","0.21%"
"2021년 11월 24일","1,330.95","1,338.59","1,339.64","1,328.37","-0.47%"
"2021년 11월 23일","1,337.24","1,337.72","1,343.11","1,334.77","0.02%"
"2021년 11월 22일","1,336.94","1,340.67","1,343.52","1,334.77","-0.23%"
"2021년 11월 19일","1,340.00","1,345.18","1,349.40","1,335.63","-0.32%"
"2021년 11월 18일","1,344.24","1,336.36","1,347.24","1,333.44","0.60%"
"2021년 11월 17일","1,336.16","1,340.40","1,341.68","1,334.41","-0.29%"
"2021년 11월 16일","1,340.00","1,345.59","1,346.92","1,337.83","-0.39%"
"2021년 11월 15일","1,345.19","1,351.27","1,354.81","1,342.96","-0.37%"
"2021년 11월 12일","1,350.18","1,354.44","1,368.27","1,345.57","-0.27%"
"2021년 11월 11일","1,353.84","1,360.79","1,363.31","1,350.19","-0.47%"
"2021년 11월 10일","1,360.19","1,366.24","1,371.43","1,358.34","-0.42%"
"2021년 11월 09일","1,365.88","1,368.55","1,393.22","1,359.23","-0.17%"
"2021년 11월 08일","1,368.24","1,365.22","1,371.76","1,364.96","0.16%"
"2021년 11월 05일","1,366.00","1,370.27","1,371.59","1,364.51","-0.29%"
"2021년 11월 04일","1,370.02","1,368.86","1,372.14","1,366.16","0.11%"
"2021년 11월 03일","1,368.56","1,364.69","1,375.78","1,363.90","0.31%"
"2021년 11월 02일","1,364.33","1,366.91","1,368.49","1,361.55","-0.14%"
"2021년 11월 01일","1,366.31","1,357.73","1,368.01","1,355.61","0.63%"
"2021년 10월 29일","1,357.80","1,364.98","1,369.80","1,355.07","-0.49%"
"2021년 10월 28일","1,364.53","1,360.35","1,366.35","1,354.41","0.33%"
"2021년 10월 27일","1,360.05","1,354.54","1,362.16","1,352.21","0.45%"
"2021년 10월 26일","1,354.00","1,355.85","1,358.01","1,350.31","-0.12%"
