time,Open,High,Low,Close
2006-03-13,121.75,121.83,121.75,121.83
2006-03-14,121.35,121.41,121.35,121.41
2006-03-15,121.19,121.28,121.19,121.28
2006-03-16,121.21,121.29,121.21,121.29
2006-03-17,120.83,120.92,120.83,120.92
2006-03-20,120.33,120.4,120.33,120.4
2006-03-21,120.56,120.63,120.56,120.63
2006-03-22,121.18,121.26,121.18,121.26
2006-03-23,121.44,121.51,121.44,121.51
2006-03-24,121.91,121.98,121.91,121.98
2006-03-27,121.57,121.63,121.57,121.63
2006-03-28,121.7,121.78,121.7,121.78
2006-03-29,121.43,121.51,121.43,121.51
2006-03-30,121.55,121.62,121.55,121.62
2006-03-31,121.12,121.18,121.12,121.18
2006-04-03,120.94,121.03,120.94,121.03
2006-04-04,120.06,120.14,120.06,120.14
2006-04-05,119.46,119.51,119.46,119.51
2006-04-06,119.02,119.07,119.02,119.07
2006-04-07,118.9,118.99,118.9,118.99
2006-04-10,119.04,119.11,119.04,119.11
2006-04-11,119.14,119.19,119.14,119.19
2006-04-12,119.78,119.87,119.78,119.87
2006-04-13,119.87,119.92,119.87,119.92
2006-04-14,119.52,119.57,119.52,119.57
2006-04-17,119.08,119.16,119.08,119.16
2006-04-18,118.78,118.87,118.78,118.87
2006-04-19,117.94,117.99,117.94,117.99
2006-04-20,118.28,118.37,118.28,118.37
2006-04-21,118.24,118.31,118.24,118.31
2006-04-24,117.19,117.22,117.19,117.22
2006-04-25,117.91,117.96,117.91,117.96
2006-04-26,117.98,118.04,117.98,118.04
2006-04-27,117.81,117.86,117.81,117.86
2006-04-28,117.6,117.7,117.6,117.7
2006-05-01,117.6,117.7,117.6,117.7
2006-05-02,117.22,117.31,117.22,117.31
2006-05-03,116.5,116.58,116.5,116.58
2006-05-04,117.17,117.25,117.17,117.25
2006-05-05,117.16,117.25,117.16,117.25
2006-05-08,115.86,115.87,115.86,115.87
2006-05-09,116.34,116.42,116.34,116.42
2006-05-10,116.03,116.09,116.03,116.09
2006-05-11,116.87,116.89,116.87,116.89
2006-05-12,116.45,116.49,116.45,116.49
2006-05-15,117.76,117.84,117.76,117.84
2006-05-16,117.99,118.07,117.99,118.07
2006-05-17,117.05,117.1,117.05,117.1
2006-05-18,118.17,118.22,118.17,118.22
2006-05-19,117.92,117.99,117.92,117.99
2006-05-22,118.58,118.66,118.58,118.66
2006-05-23,117.61,117.69,117.61,117.69
2006-05-24,118.35,118.4,118.35,118.4
2006-05-25,118.19,118.27,118.19,118.27
2006-05-26,117.77,117.82,117.77,117.82
2006-05-29,118.05,118.1,118.05,118.1
2006-05-30,117.66,117.75,117.66,117.75
2006-05-31,117.77,117.86,117.77,117.86
